date,open,high,low,close
2019-12-18 09:00:00,7741000.0,8668000.0,7546000.0,8466000.0
2019-12-19 09:00:00,8466000.0,8590000.0,8210000.0,8328000.0
2019-12-20 09:00:00,8329000.0,8395000.0,8241000.0,8338000.0
2019-12-21 09:00:00,8342000.0,8342000.0,8260000.0,8295000.0
2019-12-22 09:00:00,8295000.0,8696000.0,8277000.0,8689000.0
2019-12-23 09:00:00,8688000.0,8890000.0,8456000.0,8520000.0
2019-12-24 09:00:00,8520000.0,8630000.0,8354000.0,8470000.0
2019-12-25 09:00:00,8460000.0,8471000.0,8317000.0,8370000.0
2019-12-26 09:00:00,8370000.0,8595000.0,8317000.0,8371000.0
2019-12-27 09:00:00,8367000.0,8424000.0,8195000.0,8385000.0
2019-12-28 09:00:00,8385000.0,8479000.0,8376000.0,8432000.0
2019-12-29 09:00:00,8428000.0,8639000.0,8388000.0,8486000.0
2019-12-30 09:00:00,8486000.0,8496000.0,8331000.0,8341000.0
2019-12-31 09:00:00,8343000.0,8439000.0,8260000.0,8312000.0
2020-01-01 09:00:00,8308000.0,8387000.0,8287000.0,8300000.0
2020-01-02 09:00:00,8300000.0,8310000.0,8026000.0,8037000.0
2020-01-03 09:00:00,8038000.0,8525000.0,7910000.0,8474000.0
2020-01-04 09:00:00,8476000.0,8520000.0,8382000.0,8482000.0
2020-01-05 09:00:00,8483000.0,8645000.0,8436000.0,8454000.0
2020-01-06 09:00:00,8451000.0,8890000.0,8446000.0,8866000.0
2020-01-07 09:00:00,8866000.0,9444000.0,8865000.0,9398000.0
2020-01-08 09:00:00,9386000.0,9736000.0,9030000.0,9085000.0
2020-01-09 09:00:00,9084000.0,9142000.0,8900000.0,8941000.0
2020-01-10 09:00:00,8940000.0,9250000.0,8750000.0,9233000.0
2020-01-11 09:00:00,9218000.0,9350000.0,9047000.0,9060000.0
2020-01-12 09:00:00,9066000.0,9250000.0,9014000.0,9213000.0
2020-01-13 09:00:00,9218000.0,9227000.0,9101000.0,9172000.0
2020-01-14 09:00:00,9179000.0,9859000.0,9162000.0,9716000.0
2020-01-15 09:00:00,9716000.0,9917000.0,9498000.0,9735000.0
2020-01-16 09:00:00,9735000.0,9855000.0,9561000.0,9785000.0
2020-01-17 09:00:00,9789000.0,10216000.0,9719000.0,9992000.0
2020-01-18 09:00:00,9997000.0,10167000.0,9900000.0,10085000.0
2020-01-19 09:00:00,10085000.0,10484000.0,9734000.0,9887000.0
